Deep,Scaling,Intv,C_D,Independent,Avg_variance,Avg_loss
False,Raw_data,False,False,False,81.88769050273494,109.73512130371319
False,Raw_data,True,False,False,23.85373469252594,30.513705317791317
False,Raw_data,True,True,False,12.6042801292611,16.084190428894484
False,Raw_data,False,False,True,40.06265808596009,49.548283098438475
False,MinMax,False,False,False,21.499705463793006,37.80659961747593
False,MinMax,True,False,False,13.41862120433066,20.101080589221493
False,MinMax,True,True,False,25.365285617722982,38.075638706157775
False,MinMax,False,False,True,8.248576992153732,12.222108038320167
True,Raw_data,False,False,False,608704.7594839273,730337.0260523232
True,Raw_data,True,False,False,35.63017473829763,44.51704318629495
True,Raw_data,True,True,False,29.64731843452477,39.000538531073964
True,Raw_data,False,False,True,18.871799568437574,25.005528771620646
True,MinMax,False,False,False,14.725983420194247,16.878241732529684
True,MinMax,True,False,False,0.10863350749981453,0.16487534555665936
True,MinMax,True,True,False,4.735447858562187,8.582709040847243
True,MinMax,False,False,True,1.980444077574013,2.104544560337024
