Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,-0.006021376121919958,0.00025426029904672366,0.005572363453637205,0.00013111225667888297,0.00015434718259771342,0.0003915037545911405,-2.0031454990813176,0.0001660103910610709,0.1942388102402653,7.983740421455953e-05,0.0002045448211184755
intv,-0.0041121191041515156,2.8745080947653515e-05,0.004544107249652461,5.88384086743151e-05,0.0006954949992674424,1.608505170082578e-05,-2.0005476646920526,1.372317408653411e-05,0.19535094420638432,4.940145397919019e-05,3.335863387770374e-05
ood_obsv,-0.004032846331470759,0.009123413247682254,-0.006339978730916352,0.0027940156037418963,0.014063434102041326,0.0038188019461189906,-1.7891644233812658,0.8056933337552887,0.20211775003824703,0.06882369867536063,0.17805065264563852
ood_intv,0.013101416875639529,0.007456201840823518,0.0009522520425964414,0.0008320644428268564,0.0065781736811184625,0.0001782034526155942,-2.1107844361204315,1.1084767560874094,0.19326633731766252,0.0005163887257729926,0.22349192290988967
diff_mod,0.00394661842808609,0.007564753158391578,0.0008005094309679561,0.0024225574226548756,0.0030378709003825604,0.0008237369750783949,-2.000235888363271,0.00022168135321320968,0.19490702050111028,0.0013325317817296301,0.0024730521382135377
rand_mod,-0.012036576013751448,0.003598239859624607,0.0001028982870467475,0.0011184767076539272,0.0019533488122744237,7.297038153323258e-05,-1.998267540159217,0.0009457712656976257,0.1943497245876124,0.007906242195708088,0.0027283400820434962
Total,-0.001525813711261343,0.004735529544731689,0.0009386919554974093,0.0012408719415883803,0.004413778279613649,0.0009065028741144412,-1.9836909086329249,0.3284432400126034,0.1957050978152137,0.01312665321434659,0.0696905595174769
Var_of_avg,-0.0015258137112613439,6.459396364563197e-05,0.00093869195549741,1.4694467883254818e-05,0.004413778279613655,2.295261384141164e-05,-1.9836909086329257,0.009190360674810672,0.19570509781521364,8.636508219078371e-06
Average_total_variance,0.0696905595174769
