Input_data,A,A_var,B,B_var,C,C_var,D,D_var,E,E_var,Avg_variances
obsv,-0.36333050283161744,0.23272156696333202,-2.6449615230896057,0.05484624489448955,0.12425776334130784,0.33131414081244465,-0.7206248839124939,0.041248053417186535,0.21660678699955382,0.0012610414306986806,0.13227820950363028
intv,-0.40400520897223346,0.058262078895186156,-2.590044996710032,0.014689678601630018,0.04598520061195446,0.03319202763888928,-0.7586060253965179,0.015974149921299138,0.2127660419893745,0.0005757363300766451,0.02453873427741625
ood_obsv,-0.6990571163053942,0.8021304514657658,-2.438144812435299,0.36690206906292244,0.14152190268536186,0.005325666855569171,-0.7677549617249807,0.06189630930935852,0.1677429523261668,0.11542287569797478,0.2703354744783181
ood_intv,-0.6579019245130076,1.9410585600659969,-2.628156965048552,0.2987587051416446,0.15169489688011617,0.0048106057803768915,-0.8463907771031649,0.0550100256829473,0.21141042902041832,0.0019445288241529122,0.4603164850990237
diff_mod,-0.40247913554528686,0.21758585739361624,-2.631053466948078,0.08291560170943717,0.06508710530864774,0.0647083700050394,-0.7309841406911214,0.04118331424789354,0.2564471606509032,0.047478895847427295,0.09077440784068275
rand_mod,-0.2231125992668143,10.830023623814052,-2.5272257308291026,0.48494455365042777,0.11866153663331801,0.018461084720668906,-0.7260338736825851,0.06749799535577465,0.24071237734517972,0.016415575353202372,2.283468566578825
Total,-0.45831441457239247,2.374997211128252,-2.576597915843443,0.22252364615626197,0.10786806757678431,0.07781834807586503,-0.758399110418477,0.04897765623502231,0.21761429138859942,0.03128172095817133,0.5511197165107145
Var_of_avg,-0.4583144145723923,0.028033521361928982,-2.576597915843445,0.005347503979503507,0.10786806757678434,0.0015163654403668768,-0.7583991104184773,0.0018426815792790376,0.21761429138859942,0.0007652787109158726
Average_total_variance,0.5511197165107145
